video_id,baseline_mAP,dwmh_mAP,baseline_R50,dwmh_R50,baseline_P1,dwmh_P1,baseline_P5,dwmh_P5,baseline_P10,dwmh_P10
ILSVRC2015_train_00005004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ILSVRC2015_train_00005012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ILSVRC2015_train_00010001,0.158065,0.155212,0.242424,0.242424,1.000000,1.000000,1.000000,1.000000,0.900000,0.900000
ILSVRC2015_train_00010002,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.600000,0.600000,0.300000,0.300000
ILSVRC2015_train_00010013,0.916667,0.916667,1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,0.300000,0.300000
ILSVRC2015_train_00010017,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,0.300000,0.300000
ILSVRC2015_train_00010018,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.600000,0.600000,0.300000,0.300000
ILSVRC2015_train_00010022,0.325000,0.325000,0.375000,0.375000,1.000000,1.000000,0.600000,0.600000,0.600000,0.600000
ILSVRC2015_train_00010029,0.214286,0.214286,0.214286,0.214286,1.000000,1.000000,0.600000,0.600000,0.400000,0.400000
ILSVRC2015_train_00010035,0.105780,0.117982,0.189189,0.189189,1.000000,1.000000,0.800000,0.800000,0.500000,0.500000
ILSVRC2015_train_00023006,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.800000,0.800000
ILSVRC2015_train_00025008,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.400000,0.400000,0.400000,0.400000
ILSVRC2015_train_00025021,0.500397,0.534343,1.000000,1.000000,0.000000,0.000000,0.600000,0.600000,0.400000,0.500000
ILSVRC2015_train_00025031,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.400000,0.400000,0.200000,0.300000
ILSVRC2015_train_00040024,0.086140,0.089632,0.269231,0.269231,1.000000,1.000000,0.600000,0.600000,0.500000,0.500000
ILSVRC2015_train_00047020,0.214286,0.214286,0.285714,0.285714,1.000000,1.000000,0.400000,0.400000,0.300000,0.300000
ILSVRC2015_train_00051009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ILSVRC2015_train_00057005,0.001567,0.001567,0.034483,0.034483,0.000000,0.000000,0.200000,0.200000,0.300000,0.300000
ILSVRC2015_train_00065006,0.011111,0.011111,0.066667,0.066667,1.000000,1.000000,0.200000,0.200000,0.300000,0.300000
ILSVRC2015_train_00066007,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.800000,0.800000,0.700000,0.700000
ILSVRC2015_train_00067000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.200000,0.200000,0.200000,0.200000
ILSVRC2015_train_00069013,0.316850,0.329670,0.571429,0.571429,1.000000,1.000000,0.400000,0.400000,0.200000,0.200000
ILSVRC2015_train_00071005,0.055556,0.055556,0.074074,0.074074,1.000000,1.000000,1.000000,1.000000,0.800000,0.800000
ILSVRC2015_train_00071007,0.550000,0.550000,0.750000,0.750000,1.000000,1.000000,0.800000,0.800000,0.400000,0.400000
ILSVRC2015_train_00071008,0.785714,0.833333,1.000000,1.000000,1.000000,1.000000,0.800000,0.800000,0.400000,0.400000
ILSVRC2015_train_00071015,0.338235,0.337121,0.750000,0.750000,1.000000,1.000000,0.200000,0.200000,0.100000,0.100000
ILSVRC2015_train_00074009,0.002745,0.002688,0.064516,0.064516,1.000000,1.000000,0.400000,0.400000,0.500000,0.500000
ILSVRC2015_train_00077002,0.076923,0.076923,0.076923,0.076923,1.000000,1.000000,0.800000,0.800000,0.400000,0.400000
ILSVRC2015_train_00077004,0.001627,0.001663,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.800000,0.800000
ILSVRC2015_train_00087003,0.063933,0.064052,0.111111,0.111111,1.000000,1.000000,0.400000,0.400000,0.600000,0.600000
ILSVRC2015_train_00087005,0.010265,0.009761,0.034483,0.034483,0.000000,0.000000,0.600000,0.600000,0.800000,0.800000
ILSVRC2015_train_00091004,0.076923,0.076923,0.076923,0.076923,1.000000,1.000000,0.600000,0.600000,0.500000,0.500000
ILSVRC2015_train_00091008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ILSVRC2015_train_00098003,0.001734,0.001742,0.027397,0.027397,1.000000,1.000000,1.000000,1.000000,0.600000,0.600000
ILSVRC2015_train_00098007,0.096201,0.096086,0.208333,0.208333,1.000000,1.000000,1.000000,1.000000,0.800000,0.800000
ILSVRC2015_train_00103006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.400000,0.200000,0.200000
ILSVRC2015_train_00119001,0.260398,0.259911,0.368421,0.368421,1.000000,1.000000,0.600000,0.600000,0.500000,0.500000
ILSVRC2015_train_00119003,0.726923,0.726923,1.000000,1.000000,1.000000,1.000000,0.800000,0.800000,0.400000,0.400000
ILSVRC2015_train_00119008,0.159664,0.159664,0.285714,0.285714,1.000000,1.000000,0.200000,0.200000,0.100000,0.100000
ILSVRC2015_train_00119010,0.366667,0.366667,0.500000,0.500000,1.000000,1.000000,1.000000,1.000000,0.500000,0.500000
ILSVRC2015_train_00119024,0.433333,0.433333,0.600000,0.600000,1.000000,1.000000,0.600000,0.600000,0.400000,0.400000
