video_id,num_relations,num_tracklets,num_chain_motifs,num_triangle_motifs,num_star_motifs,num_hyperedges,time_motif_extraction_ms,time_hypergraph_construction_ms,time_laplacian_ms,time_refinement_ms,time_total_ms
ILSVRC2015_train_00005004,2,1,0,0,0,2,5.7151,0.3838,1177.1884,0.2055,1183.4953
ILSVRC2015_train_00005012,38,4,0,0,4,42,0.7166,0.3959,2.4584,1.4546,5.0274
ILSVRC2015_train_00010001,195,197,68,0,15,278,7.984,4.7626,2.2678,31.3653,46.382
ILSVRC2015_train_00010002,44,15,0,0,2,46,0.8108,0.3086,0.2291,1.1956,2.5452
ILSVRC2015_train_00010013,39,34,9,0,2,50,1.084,0.3369,0.2061,3.4572,5.0853
ILSVRC2015_train_00010017,9,7,4,0,1,14,0.3939,0.1266,0.1476,1.5958,2.265
ILSVRC2015_train_00010018,9,2,0,0,2,11,0.3527,0.0788,0.1165,1.467,2.016
ILSVRC2015_train_00010022,80,17,185,0,7,272,1.9052,9.2895,0.2683,3.3483,14.8125
ILSVRC2015_train_00010029,21,17,7,0,1,29,0.7517,0.1827,0.1536,2.7094,3.7983
ILSVRC2015_train_00010035,88,35,112,0,11,211,2.5573,5.5353,0.273,6.7417,15.1085
ILSVRC2015_train_00023006,200,355,32,1,2,235,16.9485,3.5447,4.1752,87.1087,111.7787
ILSVRC2015_train_00025008,67,12,118,0,8,193,1.6203,7.6789,0.5915,4.0392,13.9318
ILSVRC2015_train_00025021,105,35,73,0,9,187,2.9892,4.2704,0.3736,7.0183,14.6531
ILSVRC2015_train_00025031,71,18,152,0,10,233,2.5109,7.1669,0.3354,4.2365,14.2516
ILSVRC2015_train_00040024,131,85,38,0,14,183,3.2471,2.1509,0.508,7.7723,13.6796
ILSVRC2015_train_00047020,24,17,0,0,2,26,0.7437,0.1611,0.2251,2.3268,3.4578
ILSVRC2015_train_00051009,14,3,21,0,2,37,0.3947,0.4787,0.1727,1.0955,2.1425
ILSVRC2015_train_00057005,142,116,132,0,13,287,4.1225,6.704,0.7422,11.4428,23.0132
ILSVRC2015_train_00065006,200,251,51,0,8,259,8.124,4.0473,1.8544,32.2104,46.2377
ILSVRC2015_train_00066007,200,339,36,0,3,239,10.1911,3.3032,4.4023,306.7561,324.6546
ILSVRC2015_train_00067000,200,263,42,0,10,252,7.8307,3.6455,2.3354,34.078,47.891
ILSVRC2015_train_00290000,23,2,0,0,2,25,0.4515,0.2632,0.4528,0.6129,1.7818
ILSVRC2015_train_00290007,200,131,141,2,23,366,5.9382,11.0857,1.095,18.9173,37.0378
ILSVRC2015_train_00290010,200,134,108,0,22,330,5.9732,6.9049,1.1843,20.3393,34.4034
ILSVRC2015_train_00290014,141,99,140,15,18,314,5.3579,7.1749,0.7103,15.5564,28.8008
ILSVRC2015_train_00290016,30,2,0,0,2,32,0.6602,0.3212,0.1961,1.4479,2.6265
ILSVRC2015_train_00290017,145,68,79,0,15,239,4.1925,4.01,0.3833,10.9892,19.5762
ILSVRC2015_train_00295001,200,111,164,0,18,382,5.7312,12.9175,0.95,16.2581,35.859
ILSVRC2015_train_00300005,157,60,73,0,18,248,3.9545,5.1103,0.4365,8.5672,18.0706
ILSVRC2015_train_00309003,200,249,48,0,10,258,10.1406,4.9091,2.2613,35.8206,53.1341
ILSVRC2015_train_00322000,41,36,0,0,2,43,1.4058,0.3184,0.2967,4.4923,6.5146
ILSVRC2015_train_00376001,200,334,36,1,4,241,13.0247,3.0515,4.1989,66.9898,87.2672
ILSVRC2015_train_00376003,200,302,54,1,6,261,11.2776,3.9839,3.1624,55.3704,73.7953
ILSVRC2015_train_00388000,90,86,47,0,6,143,2.6718,2.2361,0.5022,7.6483,13.0596
ILSVRC2015_train_00398000,200,137,185,0,23,408,6.6084,10.5533,1.7211,22.5149,41.3991
ILSVRC2015_train_00415000,90,64,88,0,10,188,2.7435,3.2962,0.3527,3.8173,10.2111
ILSVRC2015_train_00416000,200,307,31,1,4,236,11.8626,2.9628,2.9286,39.8103,57.5658
ILSVRC2015_train_00452000,200,218,52,0,17,269,9.7578,4.7541,1.6216,42.1183,58.253
ILSVRC2015_train_00476001,200,119,8,0,16,224,4.1845,2.7936,0.7687,8.1751,15.9231
ILSVRC2015_train_00520000,200,229,13,0,16,229,11.6574,2.8677,1.4629,54.51,70.4997
ILSVRC2015_train_00527000,109,42,30,0,14,153,2.1187,1.7955,0.3178,3.7333,7.9664
ILSVRC2015_train_00554000,200,169,41,0,18,259,6.4472,3.9576,1.5673,24.1985,36.172
ILSVRC2015_train_00561000,36,29,21,0,3,60,0.9002,0.6481,0.2203,2.5287,4.2985
ILSVRC2015_train_00583000,200,188,121,0,15,336,7.961,6.8811,1.3277,30.0957,46.2667
ILSVRC2015_train_00590000,200,148,63,0,16,279,8.5737,4.5174,1.3967,36.7449,51.2346
ILSVRC2015_train_00590003,200,152,49,0,19,268,8.7235,4.22,1.494,41.1665,55.6057
ILSVRC2015_train_00149000,200,123,126,0,21,347,6.9633,8.1607,1.0466,22.7142,38.886
ILSVRC2015_train_00165004,78,32,27,0,4,109,3.1385,1.576,0.2534,15.0671,20.0359
ILSVRC2015_train_00165012,200,213,177,1,15,393,8.1044,10.5945,1.9327,29.0735,49.707
ILSVRC2015_train_00165013,180,103,348,218,19,765,6.6882,71.172,1.1828,23.0222,102.0666
ILSVRC2015_train_00177001,33,24,1,0,3,37,1.4148,0.2326,0.2144,4.5493,6.4122
ILSVRC2015_train_00177004,23,15,34,0,2,59,0.9885,0.8187,0.1815,4.709,6.699
ILSVRC2015_train_00177005,21,18,0,0,2,23,0.938,0.1549,0.2128,4.0894,5.3962
ILSVRC2015_train_00177010,200,253,87,0,9,296,6.9687,6.0999,1.9959,27.2088,42.2748
ILSVRC2015_train_00177011,87,67,99,0,11,197,3.0187,3.8885,0.3957,11.2791,18.5837
ILSVRC2015_train_00187003,200,217,95,0,14,309,6.9909,6.4876,1.6423,27.1032,42.2258
ILSVRC2015_train_00190000,200,60,23,0,23,246,4.8221,3.5355,0.4092,11.6448,20.4128
ILSVRC2015_train_00190001,200,151,45,0,16,261,7.4809,4.9169,1.0232,33.4194,46.8417
ILSVRC2015_train_00190003,200,290,63,2,6,271,9.073,4.1025,2.5204,39.599,55.2976
ILSVRC2015_train_00194001,11,4,0,0,2,13,0.4209,0.1207,0.1834,1.9208,2.647
ILSVRC2015_train_00194005,6,2,0,0,1,7,0.196,0.0784,0.1674,0.7449,1.1876
ILSVRC2015_train_00194007,155,126,40,0,10,205,4.0761,3.0256,0.7827,11.6314,19.517
ILSVRC2015_train_00196001,200,181,91,0,16,307,4.4513,6.7583,1.2977,11.3582,23.8671
ILSVRC2015_train_00199006,200,249,39,0,12,251,7.1779,3.3929,1.9237,25.7366,38.2326
ILSVRC2015_train_00219000,200,206,79,0,11,290,5.9942,5.2609,1.5599,19.1779,31.9943
ILSVRC2015_train_00219001,200,314,29,0,4,233,8.3254,3.0772,2.8532,35.9697,50.227
ILSVRC2015_train_00223001,132,84,117,5,14,268,4.4,6.006,0.7042,15.4797,26.592
ILSVRC2015_train_00225000,106,50,244,1,14,365,2.8678,14.0603,0.4273,7.5805,24.9372
ILSVRC2015_train_00228001,200,151,84,2,15,301,6.599,5.6816,1.1032,328.5578,341.9432
ILSVRC2015_train_00234014,80,10,0,0,4,84,2.0274,1.2564,0.2691,1.3889,4.9436
ILSVRC2015_train_00914000,119,50,198,107,12,436,4.8415,19.2146,0.4098,11.6459,36.113
ILSVRC2015_train_00930000,200,366,17,0,0,217,15.6967,2.4395,4.0643,87.5353,109.7378
ILSVRC2015_train_00940003,200,199,100,0,18,318,6.3357,6.1033,1.4798,20.7,34.6208
ILSVRC2015_train_00949000,32,22,0,0,4,36,1.5448,0.2368,0.2175,6.1691,8.1694
ILSVRC2015_train_00960000,200,92,242,0,27,469,4.6251,16.3148,0.9378,13.2025,35.0818
ILSVRC2015_train_00960001,200,251,51,0,8,259,8.7213,5.0728,2.5836,40.4134,56.7931
ILSVRC2015_train_00960002,118,72,179,0,15,312,3.0044,7.7121,0.4454,8.1755,19.3389
ILSVRC2015_train_00962004,200,194,263,0,19,482,7.5364,21.0359,1.9453,28.4288,58.9476
ILSVRC2015_train_00969000,63,24,5,0,5,73,1.4178,0.6281,0.2406,3.9201,6.2078
ILSVRC2015_train_00980000,200,215,70,0,14,284,6.8194,5.1673,1.5972,26.0536,39.639
ILSVRC2015_train_00988000,200,340,32,0,2,234,11.6625,3.0895,4.2658,55.2662,74.2855
ILSVRC2015_train_01016000,61,25,20,0,8,89,1.5152,0.9139,0.2373,4.8948,7.562
ILSVRC2015_train_01017000,30,16,0,0,4,34,0.8813,0.1896,0.1857,2.3804,3.6379
ILSVRC2015_train_01017005,34,27,11,0,3,48,0.9216,0.293,0.1643,2.2389,3.6189
ILSVRC2015_train_01017006,44,22,2,0,5,51,1.0059,0.3354,0.1586,3.4148,4.9157
ILSVRC2015_train_01022000,200,172,153,0,17,370,9.623,10.2679,1.5731,28.7443,50.2096
ILSVRC2015_train_01029002,33,27,0,0,1,34,1.0764,0.1843,0.2179,4.0299,5.5096
ILSVRC2015_train_00069013,200,81,153,0,26,379,4.9859,11.6703,0.6201,15.7661,33.0439
ILSVRC2015_train_00142000,89,78,32,0,9,130,2.9488,1.6108,0.3774,11.8249,16.7633
ILSVRC2015_train_00235002,200,314,22,0,1,223,9.7995,2.9724,3.4759,45.2188,61.4681
ILSVRC2015_train_00287002,168,97,169,0,21,358,5.5294,9.9683,0.856,18.5859,34.9422
ILSVRC2015_train_00632007,200,326,20,0,2,222,6.7535,2.8792,3.9516,21.5461,35.1318
ILSVRC2015_train_00909004,200,214,53,0,14,267,6.5659,4.5486,2.0174,17.6976,30.831
ILSVRC2015_train_01077001,200,297,42,0,10,252,7.5398,3.7864,3.5547,31.8438,46.7259
ILSVRC2015_val_00041001,150,144,98,2,8,258,4.9838,4.5961,1.1671,18.355,29.1035
ILSVRC2015_val_00046001,200,221,136,96,16,448,6.8675,17.6798,2.4397,22.7463,49.7349
ILSVRC2015_val_00051001,32,36,2,0,1,35,1.4319,0.2275,0.2562,6.4808,8.3978
ILSVRC2015_val_00058000,200,227,77,0,15,292,8.5177,5.2797,2.4839,34.6628,50.9455
ILSVRC2015_val_00060001,37,7,108,0,3,148,0.9727,4.9279,0.2329,2.5869,8.7216
ILSVRC2015_val_00069003,200,205,98,0,6,304,7.6506,7.5009,1.8346,34.3335,51.3211
ILSVRC2015_val_00072000,200,189,48,0,19,267,6.9619,4.2329,1.4457,29.0321,41.674
ILSVRC2015_val_00081001,200,277,44,1,8,253,8.702,3.8955,2.9395,39.8713,55.4096
ILSVRC2015_val_00082001,200,174,141,1,21,363,6.0347,8.5578,1.3678,18.9079,34.87
ILSVRC2015_val_00091000,45,39,0,0,4,49,1.8489,0.3321,0.25,7.7102,10.1423
ILSVRC2015_val_00094001,200,252,25,1,10,236,10.0569,3.2361,2.7623,49.3545,65.4108
ILSVRC2015_val_00094002,200,333,24,0,3,227,10.5142,2.956,5.0343,54.8813,73.3878
ILSVRC2015_val_00118007,161,67,44,0,20,225,4.5635,3.5921,0.5376,10.5702,19.2646
ILSVRC2015_val_00118008,200,170,49,0,19,268,6.0114,4.0158,1.2771,19.9091,31.215
ILSVRC2015_val_00124001,200,220,65,0,12,277,6.04,5.2478,1.7831,19.3601,32.4328
ILSVRC2015_val_00177001,161,50,571,0,15,747,4.4767,77.144,0.5427,8.4814,90.6466
ILSVRC2015_train_00645000,200,336,36,0,4,240,9.5634,3.4432,3.9996,40.1135,57.1212
ILSVRC2015_train_00663000,200,337,22,0,1,223,11.0633,3.3624,4.2628,60.1324,78.8229
ILSVRC2015_train_00674000,200,235,59,9,11,279,11.8759,5.0415,1.9966,56.1429,75.0583
ILSVRC2015_train_00681000,192,119,47,0,32,271,6.1123,4.4342,0.8096,21.7951,33.1523
ILSVRC2015_train_00699000,200,59,153,30,23,406,3.6779,12.0372,0.4969,6.018,22.2317
ILSVRC2015_train_00709000,200,211,27,0,21,248,12.3581,4.074,2.0722,53.8305,72.3366
ILSVRC2015_train_00710003,200,251,59,0,8,267,9.7305,4.1722,2.0067,42.2236,58.1345
ILSVRC2015_train_00734001,200,149,43,2,15,260,8.8115,3.8358,1.1942,39.0165,52.8593
ILSVRC2015_train_00788000,131,127,44,0,13,188,4.2995,2.3354,0.9745,18.9479,26.5586
ILSVRC2015_train_00797005,29,32,1,0,2,32,1.0883,0.1757,0.2237,4.6189,6.1077
ILSVRC2015_train_00818000,200,157,95,8,15,318,6.4276,6.6893,1.3507,17.9217,32.3912
ILSVRC2015_train_00846000,180,209,27,0,9,216,4.4813,2.9216,1.5016,11.7445,20.6502
ILSVRC2015_train_00847002,95,78,35,0,9,139,2.3877,1.5131,0.3651,7.3255,11.5928
ILSVRC2015_train_00869000,200,345,16,0,1,217,8.4125,2.406,4.102,36.0968,51.0186
ILSVRC2015_train_00870000,178,195,71,1,6,256,7.484,3.9721,1.5528,401.2126,414.223
ILSVRC2015_train_00878000,63,34,35,0,7,105,1.3134,1.3747,0.2454,3.1289,6.0636
ILSVRC2015_train_00884000,171,157,73,0,15,259,5.0435,4.1486,1.1429,16.7693,27.1056
ILSVRC2015_train_00887001,58,42,0,0,8,66,2.1097,0.4446,0.253,8.481,11.2893
ILSVRC2015_train_00889000,200,273,71,0,6,277,11.3432,5.4208,2.6123,64.4777,83.8557
ILSVRC2015_train_00893001,130,42,67,0,19,216,4.4741,4.6889,0.4557,8.9079,18.5381
ILSVRC2015_train_00896001,200,324,14,0,1,215,16.0993,2.828,3.8897,61.888,84.7077
ILSVRC2015_train_00897000,113,46,99,0,11,223,3.0235,5.4325,0.3871,6.2692,15.1138
ILSVRC2015_train_00897002,114,57,154,19,13,300,3.0846,8.3109,0.423,8.5677,20.3875
ILSVRC2015_train_00898000,200,380,4,0,2,206,10.9765,2.2804,4.9258,51.2209,69.4054
